# Id	Subject	Object	Predicate	Lexical cue
T9	118-119	age_start	denotes	7
T8	374-386	age_range	denotes	18 and older
T7	418-425	age_range	denotes	7 to 17
T6	118-125	age_range	denotes	7 to 17
T5	401-412	age_category	denotes	adolescents
T4	392-400	age_category	denotes	children
T3	362-368	age_category	denotes	adults
T2	101-112	age_category	denotes	adolescents
T17	381-386	age_end	denotes	older
T16	374-376	age_start	denotes	18
T12	423-425	age_end	denotes	17
T11	123-125	age_end	denotes	17
T10	418-419	age_start	denotes	7
T1	92-100	age_category	denotes	children
