# Id	Subject	Object	Predicate	Lexical cue
T9	797-806	age_end	denotes	less than
T8	1630-1647	age_range	denotes	less than 8 years
T7	1272-1289	age_range	denotes	less than 8 years
T6	797-814	age_range	denotes	less than 8 years
T5	688-707	age_range	denotes	8 years old or more
T4	780-788	age_category	denotes	children
T3	671-679	age_category	denotes	children
T20	1642-1647	age_start_unit	denotes	years
T2	1611-1620	age_category	denotes	pediatric
T19	1284-1289	age_start_unit	denotes	years
T18	690-695	age_start_unit	denotes	years
T17	809-814	age_start_unit	denotes	years
T16	1640-1641	age_start	denotes	8
T15	1282-1283	age_start	denotes	8
T14	688-689	age_start	denotes	8
T13	807-808	age_start	denotes	8
T12	1630-1639	age_end	denotes	less than
T11	1272-1281	age_end	denotes	less than
T10	828-837	age_end	denotes	less than
T1	1253-1262	age_category	denotes	pediatric
