# Id	Subject	Object	Predicate	Lexical cue
T11	568-573	age_end	denotes	older
T9	558-563	age_start_unit	denotes	years
T4	555-573	age_range	denotes	21 years and older
T15	555-557	age_start	denotes	21
T14	471-476	age_end_unit	denotes	years
T12	468-470	age_end	denotes	20
T7	461-463	age_start	denotes	18
T3	461-476	age_range	denotes	18 and 20 years
T10	358-363	age_end	denotes	older
T8	342-347	age_start_unit	denotes	years
T6	339-341	age_start	denotes	18
T5	339-363	age_range	denotes	18 years of age or older
