# Id	Subject	Object	Predicate	Lexical cue
T6	1120-1125	age_category	denotes	adult
T18	1109-1114	age_end	denotes	older
T15	1098-1104	age_start_unit	denotes	months
T12	1096-1097	age_start	denotes	6
T9	1096-1114	age_range	denotes	6 months and older
T5	1080-1089	age_category	denotes	pediatric
T4	734-739	age_category	denotes	adult
T16	723-728	age_end	denotes	older
T13	712-718	age_start_unit	denotes	months
T10	710-711	age_start	denotes	6
T8	710-728	age_range	denotes	6 months and older
T3	694-703	age_category	denotes	pediatric
T2	189-194	age_category	denotes	adult
T17	178-183	age_end	denotes	older
T14	167-173	age_start_unit	denotes	months
T11	165-166	age_start	denotes	6
T7	165-183	age_range	denotes	6 months and older
T1	149-158	age_category	denotes	pediatric
